Year,Artisinal,Industrial,
1950,77909109.44,,
1951,78460953.06,,
1952,79362935.36,,
1953,80127993.65,,
1954,79969798.27,,
1955,81517498.38,,
1956,84775138.2,272457.9632,272457.9632
1957,88771778.36,2011319.017,2011319.017
1958,87526439.01,,
1959,86638037.39,11071844.69,11071844.69
1960,91448293.98,11704874,11704874
1961,90065533.35,12863202.7,12863202.7
1962,93352812.51,13220889.56,13220889.56
1963,97661565.17,14387666.66,14387666.66
1964,97909066.34,15807194.14,15807194.14
1965,102607267.4,16625802.3,16625802.3
1966,99875226.01,17738811.1,17738811.1
1967,98149551.25,18963676.79,18963676.79
1968,96808146.48,19922390.35,19922390.35
1969,94932355.49,20678592.25,20678592.25
1970,93633771.62,23100868.01,23100868.01
1971,93024324.43,25306623.67,25306623.67
1972,92129711.88,26822085.68,26822085.68
1973,91519605.32,26049415.51,26049415.51
1974,91411891.07,27792245.92,27792245.92
1975,92531117.47,29600844.8,29600844.8
1976,93172261.94,25464060.07,25464060.07
1977,93434019.93,52552244,52552244
1978,95535052.94,34106586.44,34106586.44
1979,96984925.85,36191044.12,36191044.12
1980,99194078.46,38957074.51,38957074.51
1981,101678564.3,41457847.72,41457847.72
1982,99811852.8,41459715.63,41459715.63
1983,108884880.6,46779500.61,46779500.61
1984,113120134.3,49491135.89,49491135.89
1985,118451723.6,52474330.26,52474330.26
1986,123739055.8,56270020.77,56270020.77
1987,129324908.8,60544587.79,60544587.79
1988,135835576.7,64723220.48,64723220.48
1989,142886194.5,68884713.94,68884713.94
1990,149514399.9,74070079.17,74070079.17
1991,157650602.1,74942982.69,74942982.69
1992,166266426.4,84725821.98,84725821.98
1993,173408560.6,90799514.67,90799514.67
1994,182153307.1,100159922.6,100159922.6
1995,185184099.6,106131397.9,106131397.9
1996,197267487.1,104634464.4,104634464.4
1997,204597699.5,110701255.2,110701255.2
1998,213004111.2,122630973.2,122630973.2
1999,225882109.5,129048997,129048997
2000,234585949.6,136184350.7,136184350.7
2001,260969069.8,144910614.1,144910614.1
2002,251031911.6,154273329.8,154273329.8
2003,261013572.1,166754161.4,166754161.4
2004,265108644.8,173207496.6,173207496.6
2005,238788339.6,121262394.1,121262394.1
2006,284943244.1,181312374.5,181312374.5
2007,290423417.6,207428345,207428345
2008,297942968.4,207469840.8,207469840.8
2009,324283815.6,253310724.5,253310724.5
2010,323082920,251949617.7,251949617.7
2011,338739341.1,152739700.6,152739700.6
2012,355391432.9,212597123,212597123
2013,361316351.8,320483458.8,320483458.8
2014,376766538.6,324543864.2,324543864.2
2015,383439085.3,347624358.2,347624358.2
